trial,gamma,k,r,neighbor_mode,min_dense_points,trajectories,original_points,feature_points,compression_rate_dr,distance_similarity_dl,ld_score,cluster_coverage,n_clusters,largest_cluster_points,largest_cluster_share,nodes,edges,transitions,score,runtime_sec,rss_mb,trial_dir,feature_points_csv,map_html
10,0.02,1400,1e-05,4,,5842,214605,44445,0.7928985811141399,0.907083037445266,1.6999816185594059,1.0,6658,5431,0.12219597255034312,916,5972,18761,1.0679810196576995,3.7455105000408366,320.1015625,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p02,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p02\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p02\nlsn_map.html
11,0.05,1400,1e-05,4,,5842,214605,34497,0.8392535122667226,0.8416797666685528,1.6809332789352753,1.0,5953,3518,0.10197988230860655,776,5540,15663,1.0657207564712867,2.9531456000404432,318.62109375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p05,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p05\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p05\nlsn_map.html
9,0.01,1400,1e-05,4,,5842,214605,52069,0.757372847790126,0.932755981529127,1.690128829319253,1.0,6923,6689,0.1284641533349978,969,5949,19859,1.0619380172823256,3.997132499993313,323.14453125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p01,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p01\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p01\nlsn_map.html
12,0.1,1400,1e-05,4,,5842,214605,27659,0.8711167027795252,0.7545749472321189,1.6256916500116443,1.0,5221,1988,0.0718753389493474,685,4825,11970,1.0472557964989722,2.625113100046292,316.171875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p1,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p1\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p1\nlsn_map.html
8,0.005,1400,1e-05,4,,5842,214605,59374,0.7233335663195173,0.9491907864469734,1.6725243527664908,1.0,7042,10868,0.18304308283086873,1058,6055,19790,1.0455870038845578,4.385940100008156,324.10546875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p005,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p005\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p005\nlsn_map.html
7,0.002,1400,1e-05,4,,5842,214605,68699,0.679881643018569,0.9650960939508153,1.6449777369693843,1.0,7184,13117,0.1909343658568538,1151,6205,20331,1.0331608680958577,4.8863667999976315,326.2578125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p002,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p002\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p002\nlsn_map.html
6,0.001,1400,1e-05,4,,5842,214605,75271,0.649257939004217,0.9725284754549386,1.6217864144591556,1.0,7338,14723,0.19559989903149952,1214,6399,20819,1.0235795460548927,5.149857199983671,325.18359375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p001,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p001\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p001\nlsn_map.html
5,0.0005,1400,1e-05,4,,5842,214605,81350,0.6209314787633093,0.9769197023120266,1.597851181075336,1.0,7423,16245,0.19969268592501538,1261,6449,21126,1.0139433740345083,5.486922400014009,326.6328125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p0005,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p0005\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p0005\nlsn_map.html
4,0.0002,1400,1e-05,4,,5842,214605,89135,0.5846555299270753,0.980719407610022,1.565374937537097,1.0,7536,18092,0.2029730184551523,1341,6708,21617,1.0013455634394495,5.740626299986616,328.5078125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p0002,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p0002\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p0002\nlsn_map.html
3,0.0001,1400,1e-05,4,,5842,214605,96388,0.5508585540877426,0.9854347856414657,1.5362933397292085,1.0,7621,19581,0.2031476947337843,1399,6854,22017,0.9906188078143664,6.085219300002791,330.7109375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p0001,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p0001\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_0p0001\nlsn_map.html
2,5e-05,1400,1e-05,4,,5842,214605,108680,0.4935812306330235,0.989868888650686,1.4834501192837095,0.9050239234449761,2879,18662,0.1897354561906505,1297,6854,22029,0.9564435179565303,6.31357170001138,329.9765625,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_5e-05,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_5e-05\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_5e-05\nlsn_map.html
1,1e-05,1400,1e-05,4,,5842,214605,170442,0.2057873768085553,0.999180011859442,1.2049673886679972,0.9386594853381209,3003,26705,0.16691981223474409,1432,7041,22606,0.8676638851958114,12.508239299990237,337.89453125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_1e-05,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_1e-05\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_1\NLSN_Extraction\results\gamma_1e-05\nlsn_map.html
